country,p,date,bet,stage
Netherlands,0.8298755186721991,2022-11-20,a,qualify
Senegal,0.4608294930875576,2022-11-20,a,qualify
Ecuador,0.4694835680751174,2022-11-20,a,qualify
Qatar,0.24096385542168672,2022-11-20,a,qualify
England,0.8810572687224671,2022-11-20,b,qualify
USA,0.49019607843137253,2022-11-20,b,qualify
Wales,0.3921568627450981,2022-11-20,b,qualify
Iran,0.24390243902439027,2022-11-20,b,qualify
Argentina,0.896860986547085,2022-11-20,c,qualify
Poland,0.5,2022-11-20,c,qualify
Mexico,0.4694835680751174,2022-11-20,c,qualify
Saudi Arabia,0.13157894736842105,2022-11-20,c,qualify
France,0.8733624454148472,2022-11-20,d,qualify
Denmark,0.7633587786259541,2022-11-20,d,qualify
Australia,0.17543859649122806,2022-11-20,d,qualify
Tunisia,0.19047619047619047,2022-11-20,d,qualify
Spain,0.8510638297872342,2022-11-20,e,qualify
Germany,0.8264462809917356,2022-11-20,e,qualify
Japan,0.24242424242424243,2022-11-20,e,qualify
Costa Rica,0.0625,2022-11-20,e,qualify
Brazil,0.31496062992125984,2022-11-20,final,final
Argentina,0.23809523809523814,2022-11-20,final,final
France,0.2,2022-11-20,final,final
Spain,0.1869158878504673,2022-11-20,final,final
Germany,0.15384615384615385,2022-11-20,final,final
England,0.15384615384615385,2022-11-20,final,final
Netherlands,0.136986301369863,2022-11-20,final,final
Portugal,0.12195121951219513,2022-11-20,final,final
Belgium,0.10869565217391305,2022-11-20,final,final
Denmark,0.07547169811320754,2022-11-20,final,final
Uruguay,0.04938271604938271,2022-11-20,final,final
Croatia,0.03636363636363636,2022-11-20,final,final
Switzerland,0.025,2022-11-20,final,final
Serbia,0.023809523809523808,2022-11-20,final,final
Senegal,0.017543859649122806,2022-11-20,final,final
Poland,0.015384615384615385,2022-11-20,final,final
Mexico,0.016,2022-11-20,final,final
Wales,0.014814814814814815,2022-11-20,final,final
USA,0.013333333333333334,2022-11-20,final,final
Ecuador,0.011764705882352941,2022-11-20,final,final
Morocco,0.008,2022-11-20,final,final
Ghana,0.00392156862745098,2022-11-20,final,final
Japan,0.006060606060606061,2022-11-20,final,final
Canada,0.004878048780487805,2022-11-20,final,final
Iran,0.004761904761904762,2022-11-20,final,final
Cameroon,0.004761904761904762,2022-11-20,final,final
South Korea,0.004081632653061225,2022-11-20,final,final
Australia,0.00392156862745098,2022-11-20,final,final
Costa Rica,0.0017857142857142857,2022-11-20,final,final
Saudi Arabia,0.0025,2022-11-20,final,final
Qatar,0.0031746031746031746,2022-11-20,final,final
Tunisia,0.002777777777777778,2022-11-20,final,final
Belgium,0.7905138339920947,2022-11-20,f,qualify
Croatia,0.6309148264984227,2022-11-20,f,qualify
Morocco,0.33444816053511706,2022-11-20,f,qualify
Canada,0.24096385542168672,2022-11-20,f,qualify
Brazil,0.9049773755656109,2022-11-20,g,qualify
Switzerland,0.4739336492890995,2022-11-20,g,qualify
Serbia,0.4739336492890995,2022-11-20,g,qualify
Cameroon,0.1492537313432836,2022-11-20,g,qualify
Portugal,0.7968127490039841,2022-11-20,h,qualify
Uruguay,0.6896551724137931,2022-11-20,h,qualify
South Korea,0.2797202797202797,2022-11-20,h,qualify
Ghana,0.23809523809523814,2022-11-20,h,qualify
Brazil,0.7092198581560284,2022-11-20,quarter,quarter
England,0.6191950464396285,2022-11-20,quarter,quarter
Argentina,0.6289308176100629,2022-11-20,quarter,quarter
France,0.5865102639296187,2022-11-20,quarter,quarter
Netherlands,0.5763688760806917,2022-11-20,quarter,quarter
Spain,0.5602240896358543,2022-11-20,quarter,quarter
Germany,0.5277044854881267,2022-11-20,quarter,quarter
Portugal,0.4694835680751174,2022-11-20,quarter,quarter
Belgium,0.41493775933609955,2022-11-20,quarter,quarter
Denmark,0.35335689045936397,2022-11-20,quarter,quarter
Uruguay,0.2985074626865672,2022-11-20,quarter,quarter
Croatia,0.24390243902439027,2022-11-20,quarter,quarter
Switzerland,0.19801980198019803,2022-11-20,quarter,quarter
Serbia,0.18867924528301888,2022-11-20,quarter,quarter
Senegal,0.1869158878504673,2022-11-20,quarter,quarter
USA,0.1801801801801802,2022-11-20,quarter,quarter
Mexico,0.15873015873015872,2022-11-20,quarter,quarter
Ecuador,0.14705882352941177,2022-11-20,quarter,quarter
Poland,0.15625,2022-11-20,quarter,quarter
Wales,0.14285714285714285,2022-11-20,quarter,quarter
Morocco,0.09803921568627452,2022-11-20,quarter,quarter
Japan,0.08695652173913043,2022-11-20,quarter,quarter
Qatar,0.06349206349206349,2022-11-20,quarter,quarter
Canada,0.06557377049180328,2022-11-20,quarter,quarter
Ghana,0.06666666666666667,2022-11-20,quarter,quarter
South Korea,0.05714285714285714,2022-11-20,quarter,quarter
Iran,0.05333333333333334,2022-11-20,quarter,quarter
Australia,0.043010752688172046,2022-11-20,quarter,quarter
Cameroon,0.0425531914893617,2022-11-20,quarter,quarter
Tunisia,0.05128205128205128,2022-11-20,quarter,quarter
Saudi Arabia,0.02702702702702703,2022-11-20,quarter,quarter
Costa Rica,0.01020408163265306,2022-11-20,quarter,quarter
Brazil,0.4854368932038835,2022-11-20,semi,semi
Argentina,0.4081632653061224,2022-11-20,semi,semi
France,0.37593984962406013,2022-11-20,semi,semi
Spain,0.3305785123966942,2022-11-20,semi,semi
England,0.32,2022-11-20,semi,semi
Germany,0.2898550724637681,2022-11-20,semi,semi
Netherlands,0.2877697841726619,2022-11-20,semi,semi
Portugal,0.2631578947368421,2022-11-20,semi,semi
Belgium,0.21978021978021978,2022-11-20,semi,semi
Denmark,0.17094017094017094,2022-11-20,semi,semi
Uruguay,0.125,2022-11-20,semi,semi
Croatia,0.10309278350515465,2022-11-20,semi,semi
Switzerland,0.0784313725490196,2022-11-20,semi,semi
Serbia,0.08888888888888889,2022-11-20,semi,semi
Senegal,0.07272727272727272,2022-11-20,semi,semi
Mexico,0.058823529411764705,2022-11-20,semi,semi
USA,0.05970149253731343,2022-11-20,semi,semi
Poland,0.05063291139240506,2022-11-20,semi,semi
Wales,0.04040404040404041,2022-11-20,semi,semi
Ecuador,0.046511627906976744,2022-11-20,semi,semi
Japan,0.02631578947368421,2022-11-20,semi,semi
Morocco,0.02857142857142857,2022-11-20,semi,semi
Canada,0.019801980198019802,2022-11-20,semi,semi
South Korea,0.01834862385321101,2022-11-20,semi,semi
Qatar,0.01652892561983471,2022-11-20,semi,semi
Ghana,0.017699115044247787,2022-11-20,semi,semi
Cameroon,0.013333333333333334,2022-11-20,semi,semi
Iran,0.014285714285714285,2022-11-20,semi,semi
Australia,0.010810810810810811,2022-11-20,semi,semi
Tunisia,0.012121212121212121,2022-11-20,semi,semi
Saudi Arabia,0.007142857142857143,2022-11-20,semi,semi
Costa Rica,0.003076923076923077,2022-11-20,semi,semi
Brazil,0.2247191011235955,2022-11-20,win,win
Argentina,0.14492753623188406,2022-11-20,win,win
France,0.0975609756097561,2022-11-20,win,win
Spain,0.0851063829787234,2022-11-20,win,win
England,0.08163265306122448,2022-11-20,win,win
Germany,0.07547169811320754,2022-11-20,win,win
Netherlands,0.06666666666666667,2022-11-20,win,win
Portugal,0.06153846153846154,2022-11-20,win,win
Belgium,0.0425531914893617,2022-11-20,win,win
Denmark,0.03225806451612903,2022-11-20,win,win
Uruguay,0.02040816326530612,2022-11-20,win,win
Croatia,0.013793103448275862,2022-11-20,win,win
Serbia,0.010256410256410256,2022-11-20,win,win
Switzerland,0.007142857142857143,2022-11-20,win,win
Senegal,0.006060606060606061,2022-11-20,win,win
Mexico,0.005405405405405406,2022-11-20,win,win
USA,0.004166666666666667,2022-11-20,win,win
Ecuador,0.004081632653061225,2022-11-20,win,win
Poland,0.003389830508474576,2022-11-20,win,win
Wales,0.002702702702702703,2022-11-20,win,win
Morocco,0.002352941176470588,2022-11-20,win,win
Japan,0.0019230769230769232,2022-11-20,win,win
South Korea,0.0016129032258064516,2022-11-20,win,win
Australia,0.002,2022-11-20,win,win
Iran,0.0015748031496062992,2022-11-20,win,win
Qatar,0.0014705882352941176,2022-11-20,win,win
Ghana,0.0014084507042253522,2022-11-20,win,win
Cameroon,0.0015748031496062992,2022-11-20,win,win
Canada,0.0012903225806451613,2022-11-20,win,win
Tunisia,0.001,2022-11-20,win,win
Saudi Arabia,0.001,2022-11-20,win,win
Costa Rica,0.001,2022-11-20,win,win
